volume,num,open,close,low,high,money,label
4.9655,33,8153.13,8153.84,8153.04,8153.85,40485.49803,8151.39
7.4137,66,8154.81,8153.12,8150.3,8155.78,60450.25026,8153.84
8.2313,108,8161.18,8155.59,8154,8163.76,67159.57011,8153.12
13.9437,117,8160.61,8160.14,8160.14,8164.22,113806.7191,8155.59
5.730999952,64,8159.93,8160.61,8159.36,8160.61,46764.85531,8160.14
6.784553354,84,8163.2,8160.18,8159.67,8164.17,55372.47057,8160.61
13.93155114,108,8161.32,8163.2,8159.67,8163.76,113712.6986,8160.18
4.8561,57,8160.54,8161.72,8160.15,8163.61,39632.56496,8163.2
8.7975,69,8159.51,8160.61,8159.5,8160.97,71789.00716,8161.72
7.623802928,81,8158.3,8159.51,8157.48,8160.92,62201.82025,8160.61
10.23280515,92,8156.37,8157.94,8156.37,8158.99,83480.6674,8159.51
9.866496093,121,8155,8156.37,8154.2,8158.38,80470.1966,8157.94
8.4916,62,8157.13,8155,8155,8157.69,69266.6039,8156.37
5.529549733,49,8158.28,8156.73,8156.58,8158.34,45106.54289,8155
6.022238963,43,8159.75,8157.68,8157.54,8159.98,49133.42187,8156.73
9.5323,65,8159.97,8159.98,8159,8159.98,77781.1888,8157.68
7.0909,64,8160.01,8159.97,8159.17,8160.01,57860.26324,8159.98
3.5601,33,8159.28,8160,8159.18,8160,29049.74638,8159.97
19.6296,99,8157.57,8159.78,8155.1,8161.62,160147.6845,8160
10.01782147,38,8157.61,8158,8157.58,8158.39,81726.82148,8159.78
4.656453098,64,8159.76,8157.61,8157.61,8160,37990.90536,8158
9.119666392,55,8158.36,8159.99,8158.36,8160,74411.20023,8157.61
28.94762243,55,8159.02,8159.17,8158.32,8161.98,236185.9197,8159.99
9.7679,79,8160.05,8159.83,8159.02,8162.95,79706.68084,8159.17
15.4273,138,8161.84,8160.8,8157.75,8164.9,125885.7913,8159.83
8.0442,80,8167.34,8161.12,8160,8167.43,65660.08446,8160.8
11.1055,99,8172.25,8164.38,8164.38,8173.08,90735.01558,8161.12
5.652449882,58,8171.46,8170.17,8170.17,8172.27,46190.57187,8164.38
5.3725,62,8171.43,8171.46,8170.23,8173.12,43903.37329,8170.17
6.2004,48,8170.56,8171.53,8169.9,8172.87,50663.09614,8171.46
6.2513,98,8168.61,8170.7,8167.64,8173.12,51072.74991,8171.53
9.1976,55,8169.53,8168.47,8168.47,8169.54,75135.53326,8170.7
7.0768,82,8172.7,8169.53,8169.3,8173.4,57824.06988,8168.47
5.507597451,51,8172.3,8172.64,8172.3,8174.64,45013.69793,8169.53
4.9023,81,8173.39,8173.15,8170,8174.37,40061.4307,8172.64
5.61,97,8169.89,8172.58,8169.89,8175.44,45846.63953,8173.15
6.2841,91,8170.97,8169.88,8169.88,8173.75,51350.23021,8172.58
5.47,84,8174.76,8170.16,8170.16,8174.78,44709.04301,8169.88
5.1751,92,8174.15,8174.76,8173.11,8174.96,42300.50406,8170.16
